0.05,4.843,2.7642,2.3542,-8.9158,0.030174
0.05,4.8587,2.7964,2.358,-8.9228,0.030216
0.05,4.8745,2.8287,2.3623,-8.9294,0.030265
0.05,4.8897,2.8611,2.3672,-8.9356,0.030318
0.05,4.9055,2.8935,2.3724,-8.9414,0.030375
0.05,4.9229,2.926,2.378,-8.9468,0.030438
0.05,4.9431,2.9586,2.3841,-8.9518,0.030506
0.05,4.9665,2.9914,2.3908,-8.9562,0.030581
0.05,4.9934,3.0243,2.398,-8.9602,0.030662
0.05,5.0237,3.0573,2.4059,-8.9637,0.030752
0.05,5.0569,3.0905,2.4145,-8.9666,0.03085
0.05,5.0922,3.124,2.4239,-8.9691,0.030957
0.05,5.1285,3.1576,2.4342,-8.971,0.031074
0.05,5.1643,3.1914,2.4455,-8.9724,0.031202
0.05,5.1998,3.2255,2.4578,-8.9734,0.031341
0.05,5.2396,3.2598,2.4711,-8.9738,0.031489
0.05,5.2835,3.2944,2.4853,-8.9737,0.031648
0.05,5.3315,3.3293,2.5003,-8.9728,0.031818
0.05,5.3832,3.3645,2.5161,-8.9712,0.031999
0.05,5.4383,3.4,2.5331,-8.9689,0.032193
0.05,5.4964,3.4359,2.5512,-8.9659,0.032401
0.05,5.5569,3.4722,2.5707,-8.9622,0.032624
0.05,5.6195,3.5089,2.5916,-8.9579,0.032862
0.05,5.6861,3.546,2.6138,-8.9528,0.033114
0.05,5.7585,3.5836,2.6374,-8.9468,0.033383
0.05,5.8377,3.6217,2.6628,-8.94,0.033672
0.05,5.9232,3.6604,2.6899,-8.9323,0.033983
0.05,6.0136,3.6997,2.719,-8.9235,0.034315
0.05,6.1063,3.7396,2.7499,-8.9138,0.034668
0.05,6.1974,3.7802,2.7824,-8.9031,0.03504
0.05,6.2864,3.8213,2.8167,-8.8914,0.035432
0.05,6.379,3.8631,2.8527,-8.8788,0.035842
0.05,6.4784,3.9056,2.8901,-8.865,0.03627
0.05,6.5865,3.9488,2.9286,-8.8498,0.036715
0.05,6.7041,3.9927,2.9685,-8.8333,0.037178
0.05,6.8307,4.0374,3.0102,-8.8154,0.037664
0.05,6.9644,4.083,3.0542,-8.7963,0.038176
0.05,7.1023,4.1296,3.1015,-8.776,0.038723
0.05,7.2428,4.1772,3.1522,-8.7546,0.039305
0.05,7.3876,4.2259,3.2054,-8.7318,0.039916
0.05,7.5379,4.2755,3.2608,-8.7074,0.040554
0.05,7.6943,4.3262,3.3182,-8.6813,0.041218
0.05,7.8569,4.378,3.3776,-8.6533,0.041908
0.05,8.0257,4.431,3.4394,-8.6236,0.042627
0.05,8.2,4.4852,3.504,-8.5924,0.043378
